Video ID,Title,Views,Likes,Comments,Thumbnail URL,Extracted Text,Sentiment Polarity,Sentiment Subjectivity,Image Format,Width,Height,Resolution,Aspect Ratio,Brightness,Contrast,Saturation,Hue,Estimated Gamma,Sharpness,White Balance Deviation,Exposure,Face Present,Num Faces,Face Size Ratios,Dominant Emotions
ateTrjbdclA,The English Oxford,31253,75,0,https://i.ytimg.com/vi/ateTrjbdclA/hqdefault.jpg,THE IDEAL MAN,0.9,1.0,JPEG,480,360,172800,1.3333333333333333,120.80891203703703,85.80304469216676,23.73859375,32.36329282407407,1.0777703613169658,939.760376032792,5.711001157407409,120.80891203703703,True,4,"0.0181,0.0188,0.0042,0.0042","error,error,error,error"
acXhWQ8l8-M,Nostalgia Meets Now,24582,69,0,https://i.ytimg.com/vi/acXhWQ8l8-M/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,106.60916666666667,63.8431672454867,11.449681712962963,25.84898148148148,1.2581657551786984,315.4365681275922,5.246504629629641,106.60916666666667,False,0,,
R_q0Po4W5RY,Nostalgia Meets Now,2553,190,0,https://i.ytimg.com/vi/R_q0Po4W5RY/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,76.28434606481481,64.95557035924674,48.33701388888889,49.93163773148148,1.7410383028889431,364.8957870322145,6.464664351851852,76.28434606481481,True,1,0.0045,error
HGXMz3thuSQ,Nostalgia Meets Now,41257,90,0,https://i.ytimg.com/vi/HGXMz3thuSQ/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,102.02612847222223,64.86559871892074,34.355578703703706,42.06715277777778,1.3215585792984585,595.5260241270884,12.835619212962968,102.02612847222223,False,0,,
REY4gtDrtlQ,Introducing TERRA,54,2,0,https://i.ytimg.com/vi/REY4gtDrtlQ/hqdefault.jpg,"ICONIC

ae",0.5,0.5,JPEG,480,360,172800,1.3333333333333333,124.0675462962963,78.55333002110899,5.145462962962963,21.466018518518517,1.0393714637719613,520.2529861111111,0.5662499999999966,124.0675462962963,False,0,,
u-RJA2PjP5Q,Introducing TERRA,148,4,0,https://i.ytimg.com/vi/u-RJA2PjP5Q/hqdefault.jpg,ICONIC,0.5,0.5,JPEG,480,360,172800,1.3333333333333333,110.72780092592592,79.60818012521865,9.626944444444444,38.125532407407405,1.2034797555657175,944.4153044316045,1.7047453703703752,110.72780092592592,True,1,0.0036,error
yhRX4tOnpSs,Rare Rabbit X Zayn,2882,28,0,https://i.ytimg.com/vi/yhRX4tOnpSs/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,76.96592013888889,81.30563416880067,24.509832175925926,22.054774305555554,1.7282055679866275,1030.138339011562,7.020486111111111,76.96592013888889,False,0,,
JkWRnAbCub8,Rare&#39;z Gravity,56445,276,0,https://i.ytimg.com/vi/JkWRnAbCub8/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,56.89341435185185,47.01179280401628,120.13658564814814,78.01942708333333,2.1641636776961928,178.95391765525198,10.879814814814807,56.89341435185185,False,0,,
DoSv1Fveuhw,Rare’z Gravity,304673,9,0,https://i.ytimg.com/vi/DoSv1Fveuhw/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,112.98381944444445,78.51611199210191,73.51840277777778,73.40143518518518,1.1743810698305088,525.5313541666667,33.439207175925915,112.98381944444445,False,0,,
P-rycIfHS2Q,"Fresh Styles For Little Smiles! Shop the new drops, Our latest kids wear collection LIVE NOW!",42,1,0,https://i.ytimg.com/vi/P-rycIfHS2Q/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,119.56241319444445,92.25136820455118,25.07912615740741,28.196516203703705,1.0927333259481036,1035.6006190626272,3.4486226851851853,119.56241319444445,False,0,,
8bfmoeyrx8Y,Aman_Singhvirk X Rare Rabbit,585663,3065,0,https://i.ytimg.com/vi/8bfmoeyrx8Y/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,67.96320601851852,58.55749035175192,62.52689236111111,34.803721064814816,1.907671431798958,600.0764947915327,8.716591435185194,67.96320601851852,True,1,0.0084,error
Wu_e83niKbk,Black Friday Sale is Live | Upto 40% Off,117,2,0,https://i.ytimg.com/vi/Wu_e83niKbk/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,50.990381944444444,37.650851984758496,107.63133101851852,15.41365162037037,2.322200197429378,541.7738020792813,26.134542824074074,50.990381944444444,True,1,0.1372,error
